product_name,category_id,price_walmart,price_sobeys,price_zehrs,image,url_walmart,url_sobeys,url_zehrs,description
Sweet Potato,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/-40/747/999999-40747.jpg,https://www.walmart.ca/en/ip/sweet-potato/6000190025745,https://voila.ca/products/259950EA/details,https://www.zehrs.ca/sweet-potato/p/20127708001_KG,Sweet potatoes have a thick dark orange skin and sweet orange flesh. Yams are similar in size and shape but are not related to the sweet potato at all. Use sweet potatoes instead of regular potatoes for fries and chips or make a classic sweet potato pie.
Ginger ,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/271/867/6000191271867.jpg,https://www.walmart.ca/en/ip/ginger/6000191271866,https://voila.ca/products/585672EA/details,https://www.zehrs.ca/ginger/p/20179038001_KG,"Ginger (or gingerroot) has a tough tan skin and a fresh spicy fragrance. Ginger can be grated, slivered, or ground and its peppery flavour is used in a variety of dishes. Dried ground ginger has a very different taste and is not a suitable replacement for fresh. Peel gingerroot and add fresh to dressings and marinades, or cook in a stir-fry or soup."
Garlic,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/100/030/625195100030.jpg,https://www.walmart.ca/en/ip/garlic/6000191273738,https://voila.ca/products/146013EA/details,https://www.zehrs.ca/garlic/p/21004355001_EA,"Garlic has a plump bulb (or head) of individual cloves each covered with a thin skin that can be peeled. Heads of garlic can be roasted whole and the individual cloves can be crushed, chopped, pressed, puréed, or sliced. Try eating fresh parsley after a meal containing garlic to help control odour."
Zucchini,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/094/506/6000200094506.jpg,https://www.walmart.ca/en/ip/zucchini-green/6000191270109,https://voila.ca/products/834443EA/details,https://www.zehrs.ca/zucchini/p/20426596001_KG,"Zucchini are summer squash with dark to light green skin, white flesh, and tiny edible seeds. They have a delicate flavour and can be eaten raw or cooked in a variety of ways."
Red Onions,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/142/911/6000196142911.jpg,https://www.walmart.ca/en/ip/onion-red/6000196142910,https://voila.ca/products/834218EA/details,https://www.zehrs.ca/red-onion/p/20134101001_KG,"Red (or Italian) onions have a reddish-purple papery skin and a mild sweet flavour. Use red onions to add colour and flavour to just about any dish. Slices of raw red onion work well in salads and as a topping for burgers, or roast and serve with sausage or flank steak."
Potato,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/094/561/6000200094561.jpg,https://www.walmart.ca/en/ip/potato-white/6000194185796,https://voila.ca/products/113353EA/details,https://www.zehrs.ca/yellow-potato-10lb-bag/p/20601017001_EA,"White potatoes are a waxy potato with a white, freckled-brown skin and a white flesh that holds its shape well when cooked. They have a rich flavour that works well for potato salad, or quarter and roast white potatoes with olive oil and garlic."
Baby Spinach,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/000/962/6000204000962.jpg,https://www.walmart.ca/en/ip/your-fresh-market-baby-spinach/6000203663043,https://voila.ca/products/133557EA/details,https://www.zehrs.ca/baby-spinach/p/21204386_EA,"Who dares to say spinach can’t be exciting? We’ve always believed our trimmed, washed organic baby spinach leaves are the most versatile of salad greens. Why? Because salads are ready in an instant, fistfuls can be added to omelets, wraps, burgers and pasta, it can be blended into smoothies, sautéed as a side dish, scattered on pizza, used to fill puff pastries… We think we proved our point. And we’re suddenly quite hungry."
Asparagus,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/094/414/6000200094414.jpg,https://www.walmart.ca/en/ip/asparagus/6000191270674,https://voila.ca/products/833766EA/details,https://www.zehrs.ca/asparagus/p/20174581001_KG,"Asparagus stalks range in colour from green to purple, with dark green or purplish tips. Thickness is not a reliable indicator of tenderness, and asparagus is best enjoyed the day of purchase."
Eggplant,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/094/510/6000200094510.jpg,https://www.walmart.ca/en/ip/eggplant/6000191270102,https://voila.ca/products/833864EA/details,https://voila.ca/products/833864EA/details,"Purple eggplants have glossy, deep purple skin and a meaty texture. Eggplant should only be cut right before use since the flesh discolours quickly. Roast to make eggplant caviar or baba ghanoush, or dice for a classic ratatouille."
Rutabaga,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/094/540/6000200094540.jpg,https://www.walmart.ca/en/ip/rutabaga/981715,https://voila.ca/products/834426EA/details,https://www.zehrs.ca/rutabaga/p/20164563001_KG,"Rutabagas are root vegetables that resemble large turnips. They have pale yellow skin and flesh, a slightly sweet flavour, and can be used in the same ways as turnips. Add rutabaga to soups and stews, roast along with other root vegetables, or mash like potatoes and serve as a simple side dish."
Green Beans,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/302/282/999999-709351302282.jpg,https://www.walmart.ca/en/ip/eat-smart-green-beans/6000197633021,https://voila.ca/products/594370EA/details,https://www.zehrs.ca/green-beans/p/20528803_EA,"Trimmed and washed for easy preparation, these fresh, crisp green beans are packed in a convenient, microwave-safe package for easy steaming right in the bag. Enjoy in all your family favourite side dishes and stir-fries. When entertaining, serve as part of a crudité platter with dip."
Corn,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/701/219/33383701219.jpg,https://www.walmart.ca/en/ip/corn/6000201977376,https://voila.ca/products/594364EA/details,https://www.zehrs.ca/corn-on-the-cob/p/20348977001_EA,"Bi-colour corn has plump yellow and white kernels in tightly-spaced rows. Corn is covered with a thin layer of golden silk that should be removed prior to cooking. Cook corn and cut the kernels off the cob for salsa, salad, or chili, or boil and serve with butter for classic corn on the cob."
Bok Choy,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/996/405/6000196996405.jpg,https://www.walmart.ca/en/ip/bok-choy-baby/6000196119369,https://voila.ca/products/637349EA/details,zehrs.ca/baby-bok-choy/p/20082279001_KG,"Baby (or Shanghai) bok choy is a cruciferous vegetable with crunchy greenish-white stalks topped with dark green leaves, both of which are edible. Baby b"
Leek ,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/094/535/6000200094535.jpg,https://www.walmart.ca/en/ip/leek/6000191272245,https://voila.ca/products/834058EA/details,https://www.zehrs.ca/leeks/p/20090117001_EA,Leeks have a thick white stalk and bulb topped by tightly wrapped dark green leaves. They look like large scallions and have a mild onion flavour. Leeks are typically cooked and added to soups and sauces. Try yours sliced and added to quiche along with Gruyere.
Acorn Squash,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/-47/500/999999-47500.jpg,https://www.walmart.ca/en/ip/squash-acorn/6000196087978,https://voila.ca/products/834428EA/details,https://www.zehrs.ca/acorn-squash/p/20071263001_KG,"Acorn squash is a winter squash with ridged dark green skin that sometimes has a splash of orange. It has orange flesh that is sweet and nutty when cooked, and the seeds can be roasted and enjoyed as a snack. Bake halved acorn squash and serve as a side dish or purée and use in soup, sauce, or pie."
Strawberries,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/094/582/6000200094582.jpg,https://www.walmart.ca/en/ip/strawberries/871283,https://voila.ca/products/112324EA/details,https://www.zehrs.ca/strawberries-1lb/p/20049778001_EA,"Strawberries vary in colour, shape, and size but their flavour is distinctively sweet. They are topped with a hull of green leaves and are speckled with seeds on the surface. Enjoy yours in classic desserts like strawberry shortcake and strawberry-rhubarb pie, or add them to your next spinach salad with some crumbled goat cheese ."
Avocado ,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/094/559/6000200094559.jpg,https://www.walmart.ca/en/ip/avocado/6000191273458,https://voila.ca/products/155489EA/details,https://www.zehrs.ca/hass-avocados-bag/p/20142232001_EA,"Each bag has 5 avacados. Hass avocados have a pebbly skin that turns from dark green to near black when ripe. Cut lengthwise, twist to separate the halves, and scoop out the creamy, pale green flesh for guacamole (lemon juice will keep the flesh from discolouring) and smoothies, or add sliced avocado to salad or a BLT sandwich."
Raspberries,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/094/581/6000200094581.jpg,https://www.walmart.ca/en/ip/raspberries/6000191272137,https://voila.ca/products/7647EA/details,https://www.zehrs.ca/raspberries-1-2-pint/p/20128938001_EA,"Raspberries are delicate fruit with bright red drupelets that connect to each other around a hollow central core. Their flavour is sweet but can also be tart if they aren’t quite ripe. Add them to your morning cereal, smoothie, or yogurt, or indulge with raspberries topped with cream and chocolate shavings."
Green Seedless Grapes,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/557/738/6000200557738.jpg,https://www.walmart.ca/en/ip/grapes-green-seedless/6000194103967,https://voila.ca/products/302916EA/details,https://www.zehrs.ca/green-seedless-grapes/p/20425775001_KG,Green grapes range in colour from pale green to amber yellow and are considered white grape varieties. Fresh grapes have a silver-white bloom covering them and should be plump with firmly attached green stems. Use green grapes to garnish your cheese tray or simply enjoy them on their own as a snack.
Red Seedless Grapes,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/042/489/6000201042489.jpg,https://www.walmart.ca/en/ip/grapes-red-seedless/6000195440984,https://voila.ca/products/584820EA/details,https://www.zehrs.ca/red-seedless-grapes/p/20159199001_KG,"Red grapes, such as the popular Flame and Ruby varieties, should be plump and firmly attached to green stems. Fresh grapes have a silver-white bloom covering them. Use red seedless grapes to garnish your cheese tray or simply enjoy them on their own as a snack."
Blueberries ,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/094/583/6000200094583.jpg,https://www.walmart.ca/en/ip/blueberries/6000197776949,https://voila.ca/products/160123EA/details,https://www.zehrs.ca/blueberries/p/20152465001_EA,"Blueberries range in colour from a deep purple-blue to a blue-black, both with a silvery sheen called bloom. Sweeten your morning by sprinkling blueberries on your cereal or pancakes, or add blueberries to a spinach salad with pecans and blue cheese."
Clementine,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/208/925/6000202208925.jpg,https://www.walmart.ca/en/ip/your-fresh-market-clementine/6000199359368,https://voila.ca/products/198565EA/details,https://www.zehrs.ca/clementine-2lb/p/20095158001_EA,"Clementines are part of the Mandarin family of oranges. These easy-to-peel citrus fruits are firm, juicy, and often sweeter than oranges. Take clementines with you for a snack on the go, or peel and slice to add to a kale salad with feta."
Apple ,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/398/991/6000202398991.jpg,https://www.walmart.ca/en/ip/apple-royal-gala-your-fresh-market/6000197346281,https://voila.ca/products/72449EA/details,https://www.zehrs.ca/gala-apples-4lb-bag/p/20767998001_EA,"Gala apples are crisp, sweet, and a little spicy with pink-orange stripes over a yellow background. They are juicy, fragrant, and best enjoyed raw. You can also caramelize Gala apples along with onions to use as a topping for pork chops"
Pineapple ,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/198/453/6000200198453.jpg,https://www.walmart.ca/en/ip/pineapple-golden-jumbo/6000191289579,https://voila.ca/products/17385EA/details,https://www.zehrs.ca/pineapple-large/p/20119813001_EA,"Pineapples have a diamond-patterned skin that resembles a pinecone with crisp, green leaves shooting out the top. The distinctive flavour of the pineapple’s golden yellow flesh is sweet and tangy. Once cut, pineapple makes a great addition to smoothies, or slice yours to make a pineapple upside-down cake."
Lemon ,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/208/926/6000202208926.jpg,https://www.walmart.ca/en/ip/your-fresh-market-lemon/6000199360629,https://voila.ca/products/36691EA/details,https://www.zehrs.ca/lemons-2lb-bag/p/20795315001_EA,"Lemons have a bright yellow peel and can vary in size depending on the variety. This citrus fruit produces a tart, acidic juice that will add flavour to your salad dressings, beverages, and marinades. Lemon juice and rinds are also versatile ingredients for baking everything from cookies and cakes to a classic lemon meringue pie."
Oranges ,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/208/924/6000202208924.jpg,https://www.walmart.ca/en/ip/your-fresh-market-seedless-oranges/6000189782333,https://voila.ca/products/435321EA/details,https://www.zehrs.ca/navel-oranges-3lb-bag/p/20162945001_EA,"Navel oranges are bright orange, easy to peel, and have a sweet and seedless pulp. These popular oranges are an easy snack on the go but can also be used to glaze chicken, duck, and pork."
Cantaloupe ,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/894/7_r/6000191268947_R.jpg,https://www.walmart.ca/en/ip/cantaloupe/6000191268946,https://voila.ca/products/834111EA/details,https://www.zehrs.ca/cantaloupe/p/20167017001_EA,"Cantaloupes have a greyish-beige skin with a raised netting overtop. The flesh is pale orange, juicy, and sweet. When ripe, cantaloupes are fragrant and yield to pressure at the blossom end. Remove the seeds and cube for a fruit salad or slice and wrap with prosciutto and mint for a refreshing summer salad."
Watermelon,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/125/978/6000200125978.jpg,https://www.walmart.ca/en/ip/watermelon-mini-seedless/6000191284632,https://voila.ca/products/169694EA/details,https://www.zehrs.ca/red-seedless-watermelon/p/20067326001_EA,"Watermelons come in a variety of shapes and colours, either with seeds or not. They are all sweet and juicy with a crisp flesh and watery texture. Sliced watermelon tastes great on its own, or you can toss watermelon cubes with some feta cheese and fresh mint for a summer salad"
Kiwi ,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/514/254/6000204514254.jpg,https://www.walmart.ca/en/ip/green-kiwi/PRD6GYYS29T8E05,https://voila.ca/products/593744EA/details,https://www.zehrs.ca/kiwi-organic/p/21351670001_EA,"Green kiwis are egg-shaped with fuzzy brown skin. Inside, their green flesh is speckled with tiny black edible seeds and their flavour is sweet and sometimes tart. You can peel and slice your kiwi or just cut it in half and scoop out the flesh with a spoon. They retain their bright green colour even when exposed to air so kiwi is a good choice for fruit salad and fresh fruit tarts."
